"name","brand","price","mrp","imgLink","rating","totalRatings","totalReviews","web_url","resolution","display","speaker","operating_system","model_number","screen_size"
"Sony 164 cm (65 Inches) Android Smart 4K Ultra HD LED TV KD-65X80J (2021 Model, Black)","Sony","₹110990.00","₹179990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009458742_437Wx649H_202107292221001.jpeg",4.5,4,0,"https://www.tatacliq.com/sony-164-cm-65-inches-android-smart-4k-ultra-hd-led-tv-kd-65x80j-2021-model-black/p-mp000000009458742","Resolution: 3840 x 2160 pixels","Display Feature: 4K HDR Processor X1   Tri-luminous Pro Display  Object-based HDR Remaster   4K X-Reality PRO   Motionflow XR 200   HDR 10   HLG","Speaker Output: 20W   Dolby Audio   Dolby Atmos   DTS Digital Surround   Bass Reflex Speaker   X-Balanced Speaker","Operating System (Android TV)   Built-in Google Assistant   Google Play Store   Smart Remote  Built-in Chromecast","KD-65X80J","Screen Size: 65 inch"
"Panasonic 108 cm (43 Inches) Android Smart 4K Ultra HD LED TV TH-43JX650 (2021 Model, Black)","Panasonic","₹41315.00","₹50990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009874846_437Wx649H_202106300206581.jpeg",5,1,0,"https://www.tatacliq.com/panasonic-108-cm-43-inches-android-smart-4k-ultra-hd-led-tv-th-43jx650-2021-model-black/p-mp000000009874846","Resolution: 3840 x 2160 Pixels | Refresh Rate: 60Hz","Display Feature: 4K Color Engine|Hexa Chroma Drive|HDR|HDR10+","Sound Output: 20W|Audio Booster +","Operating System: Android|Google Assistant|MirAIe|Chromecast Built-in|I cast|2-way Audio Link (BT)","TH-43JX650","Screen Size: 43 inch"
"LG 127 cm (50 Inches) Smart Ultra HD 4K LED TV 50UP7750PTZ (2021 Model, Black) 3 Year Warranty","LG","₹56990.00","₹72990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010495283_437Wx649H_202109031608261.jpeg",0,0,0,"https://www.tatacliq.com/lg-127-cm-50-inches-smart-ultra-hd-4k-led-tv-50up7750ptz-2021-model-black-3-year-warranty/p-mp000000010495283","Resolution : 3840 x 2160 Pixels | Refresh Rate : 60 Hz","Display Feature: Quad Core Processor 4K|Active HDR|HLG|True Color Accuracy|HDR 10 Pro|4K Upscaler|Active Noise Reduction","Sound Output: 20W|AI Sound Pro|AI Acoustic Tuning|Clear Voice III|Bluetooth Audio Playback","Operating System: LG WebOS|AI ThinQ|Google Assistant|Amazon Alexa|LG Content Store|Sports Alert|Home Dashboard","50UP7750PTZ","Screen Size: 50 inch"
"Haier 109cm (43 Inches) Google Certified Android Smart Full HD LED TV LE43K6600GA (2020 Model,Black)","Haier","₹30459.00","₹45990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000006838545_437Wx649H_202107292222551.jpeg",3.89,9,1,"https://www.tatacliq.com/haier-109cm-43-inches-google-certified-android-smart-full-hd-led-tv-le43k6600ga-2020-modelblack/p-mp000000006838545","Resolution: 1920 x 1080 pixels","Display Feature : Noise Reduction   7 Picture Mode Setting   16 : 9 Aspect Ratio","Speaker Output : 2X10 W   Dolby Decoder   Stereo Speaker   Automatic Volume Control   7 Sound Mode Settings","Operating System: Android 9.0   Built in Google Chromecast   AI Smart Voice By Google Assistant   Android Device IoT Hub   Bluetooth Smart Remote","LE43K6600GA","Screen Size: 43 inch"
"Samsung 138 cm (55 Inches) Smart 4K Ultra HD QLED TV Neo QA55QN90AAKLXL (2021 Model, Titan Black)","Samsung","₹144899.00","₹211900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000009824765_437Wx649H_202107292242011.jpeg",0,0,0,"https://www.tatacliq.com/samsung-138-cm-55-inches-smart-4k-ultra-hd-qled-tv-neo-qa55qn90aaklxl-2021-model-titan-black/p-mp000000009824765","Resolution: 3840 x 2160 Pixels | Refresh Rate: 120Hz","Display Feature: Quantum Matrix Technology|Neo Quantum Processor 4K|Quantum HDR 32X|Motion Xcelerator Turbo+|HDR 10+|HDR|HLG|Auto Motion Plus","Sound Output: 60W|SpaceFit Sound|Q-Symphony|Dolby Digital Plus|Object Tracking Sound|Woofer|Sound Mirroring|Surround Sound|Adaptive Sound+","Operating System: Tizen|Bixby|Google Assistant|Alexa|Multi View|Tap View|Content Guide|Samsung TV Plus","QA55QN90AAKLXL","Screen Size: 55 inch"
"LG 165.1 cm (65 Inches) Smart Ultra HD 4K LED TV 65NANO75TPZ (2021 Model, Black)","LG","₹107964.00","₹169990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010542343_437Wx649H_202109091926071.jpeg",0,0,0,"https://www.tatacliq.com/lg-165-1-cm-65-inches-smart-ultra-hd-4k-led-tv-65nano75tpz-2021-model-black/p-mp000000010542343","Resolution : 3840 x 2160 Pixels | Refresh Rate : 60 Hz","Display Features: Real 4K NanoCell Display|Intelligent Quad Core Processor 4K|Active HDR|HDR 10 Pro|HLG|Wide Color Gamut|True Color Accuracy","Speaker Output: 20W|AI Sound|AI Acoustic Tuning|Clear Voice III|Bluetooth Audio Playback|TV Sound Mode Share","Operating System: LG webOS|LG AI ThinQ|Google Assistant|Amazon Alexa|Apple Airplay 2|Home Dashboard|LG Content Store|Sports Alert","65NANO75TPZ","Screen Size: 65 inch"
"Samsung 138 cm (55 Inches) Smart Ultra HD QLED TV QA55QN85AAKLXL (Eclipse Silver)","Samsung","₹133899.00","₹192900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010615955_437Wx649H_202109161341181.jpeg",0,0,0,"https://www.tatacliq.com/samsung-138-cm-55-inches-smart-ultra-hd-qled-tv-qa55qn85aaklxl-eclipse-silver/p-mp000000010615955","Resolution : 3840 x 2160 Pixels | Refresh Rate : 120 Hz","Display Feature: Quantum Matrix Technology|Neo Quantum Processor 4K|Quantum HDR|Quantum Dot Technology|Motion Xcelerator Turbo+|HDR 10+|HLG","Speaker Output: 60W|Dolby Digital Plus|Q-Symphony|Object Tracking Sound (OTS)|SpaceFit Sound|Woofer|Sound Mirroring|Surround Sound|Adaptive Sound+","Operating System: Tizen|Bixby|Works with Google Assistant and Alexa|Multi View|Tap View|Content Guide|Samsung TV Plus|Web Browser|Universal Guide","QA55QN85AAKLXL",
"Haier 80cm (31.49 Inches) Google Certified Android Smart AI Plus LED TV LE32K6600GA","Haier","₹18854.00","₹22990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000007009658_437Wx649H_202107101947241.jpeg",3.89,9,1,"https://www.tatacliq.com/haier-80cm-31-49-inches-google-certified-android-smart-ai-plus-led-tv-le32k6600ga/p-mp000000007009658","Resolution: 1366 x 768 Pixels","Display Feature: Noise Reduction   7 Picture Mode Setting   16 : 9 Aspect Ratio","Speaker Output: 2X10 W   Dolby Decoder   Stereo Speaker   Automatic Volume Control   7 Sound Mode Settings    Bluetooth Voice Remote Control","Operating System: Android 9.0   Built in Google Chromecast   AI Smart Voice By Google Assistant   Android Device IoT Hub","LE32K6600GA","Screen Size: 32 inch"
"Sony 164 cm (65 Inches) Android Smart 4K Ultra HD LED TV KD-65X85J (2021 Model, Black)","Sony","₹142489.00","₹199900.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000010002991_437Wx649H_202108010257331.jpeg",0,0,0,"https://www.tatacliq.com/sony-164-cm-65-inches-android-smart-4k-ultra-hd-led-tv-kd-65x85j-2021-model-black/p-mp000000010002991","Resolution: 3840 x 2160 pixels   Motion Rate: 100Hz","Display Feature: 4K HDR Processor X1 4K X-Reality Pro Live Colour Technology TRILUMINOS PRO Dolby Vision HDR10 HLG Motionflow XR 800","Sound Output: 20W Dolby Atoms X-Balanced Speaker Bass Reflex Speaker Dolby Audio Clear Multidimensional Sound DTS Digital Sound","Operating System: Android Chromecast Built-in Voice Search Google TV Work with Google Assistant and Alexa Works with Apple AirPlay","KD-65X85J","Screen Size: 65 inch"
"Haier 163cm (64.17 Inches) Google Certified Android Smart UHD 4K LED TV LE65K6600HQGA (2020 Model)","Haier","₹68459.00","₹99990.00","//img.tatacliq.com/images/i7/437Wx649H/MP000000007009655_437Wx649H_202107101934071.jpeg",5,1,0,"https://www.tatacliq.com/haier-163cm-64-17-inches-google-certified-android-smart-uhd-4k-led-tv-le65k6600hqga-2020-model/p-mp000000007009655","Resolution: 3840 x 2160 Pixels   Refresh Rate: 60Hz","Display Feature: 16 : 9 Aspect Ratio","Speaker Output: 20 W   Bluetooth: v5","Operating System: Android 9.0   Built in Google Chromecast   Google Assistant","LE65K6600HQGA",
